"Date","Price","Open","High","Low","Vol.","Change %"
15/02/18,"9672.4","9454.3","9944.8","9338.8","55.14K","2.29"
14/02/18,"9455.4","8515.9","9488.0","8512.6","50.36K","11.03"
13/02/18,"8515.9","8902.9","8952.8","8339.7","39.51K","-4.32"
12/02/18,"8900.6","8070.0","9000.0","8070.0","51.40K","10.31"
11/02/18,"8069.0","8563.0","8569.0","7851.0","52.21K","-5.77"
10/02/18,"8563.1","8678.1","9074.3","8152.1","68.15K","-1.38"
09/02/18,"8683.2","8240.0","8748.0","7734.7","63.03K","5.44"
08/02/18,"8235.1","7585.0","8648.8","7579.6","77.62K","8.54"
07/02/18,"7587.0","7679.4","8488.2","7175.1","106.70K","-1.13"
06/02/18,"7673.8","6946.6","7860.0","6000.0","192.76K","10.42"
05/02/18,"6949.9","8185.2","8378.0","6658.8","131.29K","-15.25"
04/02/18,"8200.0","9225.1","9403.3","7840.0","74.42K","-11.06"
03/02/18,"9219.4","8887.1","9495.0","8189.6","51.91K","3.64"
02/02/18,"8895.8","9181.0","9201.0","7972.2","123.34K","-3.11"
01/02/18,"9181.1","10278.0","10311.0","8941.0","78.78K","-10.72"
31/01/18,"10284.0","10170.0","10411.0","9761.0","43.23K","1.07"
30/01/18,"10175.0","11215.0","11250.0","9864.9","61.28K","-9.25"
29/01/18,"11212.0","11836.0","11957.0","11074.0","25.65K","-5.30"
28/01/18,"11839.0","11455.1","12181.0","11398.0","29.62K","3.30"
27/01/18,"11461.0","11068.0","11683.0","10822.0","34.40K","3.53"
26/01/18,"11070.0","11144.0","11647.0","10298.0","56.75K","-0.68"
25/01/18,"11146.0","11402.0","11723.0","10857.0","34.44K","-2.35"
24/01/18,"11414.0","10811.0","11529.0","10454.0","43.82K","5.50"
23/01/18,"10819.0","10770.0","11383.0","9901.1","63.85K","0.45"
22/01/18,"10771.0","11519.0","11886.0","10009.0","66.35K","-6.45"
21/01/18,"11514.0","12732.0","12732.0","11020.0","53.62K","-9.54"
20/01/18,"12728.0","11462.0","13002.0","11425.0","46.30K","10.91"
19/01/18,"11476.0","11036.0","11879.0","10649.0","48.55K","3.90"
18/01/18,"11045.0","11101.0","11881.0","10515.0","85.24K","-0.33"
17/01/18,"11082.0","11059.0","11490.0","9231.1","132.23K","0.09"
16/01/18,"11072.0","13594.0","13604.0","9949.4","131.86K","-18.44"
15/01/18,"13575.0","13558.0","14350.0","13307.0","33.46K","0.13"
14/01/18,"13558.0","14190.0","14391.0","12874.3","35.60K","-4.46"
13/01/18,"14191.0","13794.0","14580.0","13760.0","29.01K","2.96"
12/01/18,"13783.0","13248.0","14095.0","12778.0","37.42K","3.90"
11/01/18,"13266.0","14895.0","14949.8","12639.0","71.70K","-10.94"
10/01/18,"14896.0","14426.0","14896.0","13338.0","57.33K","3.28"
09/01/18,"14423.0","14902.0","15355.0","14122.0","43.44K","-3.40"
08/01/18,"14930.0","16216.0","16279.0","13760.0","64.95K","-7.82"
07/01/18,"16196.0","17163.0","17176.0","15726.0","30.84K","-5.62"
06/01/18,"17161.0","16911.0","17252.0","16251.0","29.61K","1.44"
05/01/18,"16917.0","15159.0","17101.0","14769.0","54.63K","11.59"
04/01/18,"15160.0","15150.0","15390.0","14064.0","46.47K","0.03"
03/01/18,"15155.0","14713.0","15428.0","14522.0","38.35K","3.03"
02/01/18,"14709.8","13448.0","15300.0","12810.0","56.18K","10.15"
01/01/18,"13354.0","13794.0","13893.0","12787.0","29.54K","-3.23"
31/12/17,"13800.0","12385.0","14140.0","12183.9","43.29K","11.50"
30/12/17,"12377.0","14308.0","14403.0","11690.0","75.43K","-13.55"
29/12/17,"14317.0","14323.0","15105.0","13847.0","48.01K","0.01"
28/12/17,"14315.0","15374.0","15467.0","13232.0","72.89K","-6.89"
27/12/17,"15374.0","15680.0","16494.0","14463.0","54.99K","-1.95"
26/12/17,"15679.0","13627.0","16048.0","13550.0","63.44K","15.09"
25/12/17,"13623.0","13517.0","14278.0","12678.0","45.61K","1.09"
24/12/17,"13476.0","14036.0","14047.0","11601.2","72.38K","-3.98"
23/12/17,"14035.0","13173.0","14986.0","12755.0","59.92K","6.57"
22/12/17,"13170.0","15650.0","15826.0","10718.0","179.00K","-15.94"
21/12/17,"15666.8","16433.0","17333.0","14827.0","65.58K","-4.62"
20/12/17,"16425.0","17340.0","17709.0","15500.0","82.16K","-5.30"
19/12/17,"17345.0","18931.0","18987.0","16500.0","66.65K","-8.39"
18/12/17,"18934.0","18959.0","19171.0","18010.0","53.58K","-0.20"
17/12/17,"18971.0","19210.0","19891.0","18622.0","51.80K","-1.13"
16/12/17,"19187.0","17569.5","19548.0","17098.0","48.27K","9.50"
15/12/17,"17522.0","16396.0","18098.0","16352.0","63.11K","6.95"
14/12/17,"16383.0","16122.0","16999.0","15870.0","45.72K","1.25"
